DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
641368.39;14864.76;GAVIÃO;10412.34;62989.92;T2_1209;2554522.68;20510.37;1141138.76;T2;216717.02;34760.86;2063492.56;1209;151285.22;260475.04;339744.9
644658.65;0;GÓIS;31135.46;646410.73;T2_0606;3892546.7;26492.04;1388327.58;T2;124766.05;465057.4;2287896.23;0606;337280.83;228417.96;1267369.64
756477.38;200349;GOLEGÃ;66289.91;62174.6;T2_1412;3273286.71;16868.19;1203935.5;T2;192360.94;344077.14;2174359.66;1412;233675.46;197078.59;865251.59
8912543.41;1257933.45;GONDOMAR;205550.07;1920611.26;T2_1304;35168690.26;218698.2;11932649.41;T2;3576019.75;1772291.88;23397210.34;1304;3039073.51;2333319.32;8732406.41
715977.94;60828.52;GOUVEIA;332507.74;348269.27;T2_0906;5304152.76;81097.24;1502793.32;T2;548504.81;72111.21;3236435.73;0906;705495.48;936567.23;1362221.55
2453997.78;90224.14;GRÂNDOLA;45910.51;672413.01;T2_1505;9631321.05;71631.63;4340602.9;T2;712267.32;100524.51;7670034.4;1505;339947.16;803802.09;1621339.49
2878816.25;444613.28;GUARDA;8034.13;228120.67;T2_0907;14749823.35;582505.34;5060519.64;T2;355034.69;1003743.99;9890851.3;0907;2819425.29;1369010.07;2039546.76
8683462.54;902779.16;GUIMARÃES;0;1999532.37;T2_0308;38692016.66;510473.69;12179785.97;T2;2570660.74;3470390.5;25493459.6;0308;4255194.29;4119737.4;8943362.77
667172.61;0;HORTA;336018.25;178901.67;T2_4701;4045832.08;28914.63;1626259.87;T2;156636.71;9304.32;2859284.21;4701;505686.92;536937.1;680860.95
3125579.27;51643.82;IDANHA-A-NOVA;48120.5;570971.99;T2_0505;8274549.19;67994.77;2341463.2;T2;312135.52;755508.24;5958327.28;0505;577841.84;423290.04;1738380.07
4154408.17;240604.16;ÍLHAVO;166144.98;1618480.5;T2_0110;16945243.34;205516.27;3567454.93;T2;1315918.06;3633629.19;8394053.74;0110;1576412.71;466674.37;6974776.89
4089329.68;0;LAGOA (ALGARVE);100232.26;601895.77;T2_0806;11790455.96;52731.9;3882704.14;T2;483373.48;1025209.9;9086156.73;0806;493587.82;1061391.01;2210711.41
848919.41;11684.1;LAGOA (SÃO MIGUEL);82246.99;654278;T2_4201;5675867.35;69256.64;1305247.96;T2;596926.68;39888.22;2930796.63;4201;1360046.73;707372.62;1385023.99
5235938.21;81455.22;LAGOS;147552.58;363038.71;T2_0807;19088963.3;121053.77;6775948.55;T2;1045310.05;1572939.97;14797505.53;0807;1081161.24;2664565;3210296.53
479950.96;1267;LAJES DAS FLORES;14461.5;48487.16;T2_4801;2499507.82;0;498261.28;T2;139787.1;1070558.94;1001200.77;4801;223745.35;22988.53;1274561.7
409151.52;0;LAJES DO PICO;248216.38;140277.77;T2_4601;2181513.77;25535.2;724125.08;T2;19780.97;78450.74;1292324.85;4601;402463.06;133513.05;486725.86
1642679.03;167694.61;LAMEGO;176563.83;277889.31;T2_1805;10022103.56;139913.04;2299744.05;T2;237840.88;1105365.06;5146223.29;1805;2910526.58;1063887.17;1965353.69
6938163.13;113842.14;LEIRIA;241499.89;1059140.15;T2_1009;28429003.08;395275.45;6878873.36;T2;805888.51;2175586.81;19806175.13;1009;4226870.45;5593863.19;4395957.5
46249249.74;4451614.74;LISBOA;2704610.62;2821116.95;T2_1106;271638204.01;3108567.04;126814411.15;T2;10469142.06;4291384.49;193264175.15;1106;53636160;17091947.22;24737868.86
11018061.24;528766.68;LOULÉ;5387371.4;2189288.3;T2_0808;45087294.85;184589.72;14726783.4;T2;2839519.74;1946211.19;29389977;0808;2806160.54;3460542.64;12891157.31
11090347.16;1574141.95;LOURES;746282.98;140712.26;T2_1107;47523971.67;234407.09;19880631.07;T2;813826.25;1225049.32;39164572.93;1107;3859385.98;7959187.61;4500012.76
3443879.76;126000;LOURINHÃ;338686.47;414807.97;T2_1108;10399741.31;195975.97;2944550.41;T2;232563.51;338502.88;7642481.97;1108;1306698.51;1058075.83;1450560.83
1700159.42;47300.64;LOUSÃ;169502.97;662040.94;T2_0607;6195335.81;61515.78;2281890.86;T2;516312.33;174902.93;4347191.87;0607;278084.13;303625.81;1570059.81
3616924.67;102651.4;LOUSADA;1223598.43;188124.63;T2_1305;14657415.74;67939.94;5291220.68;T2;161710.61;1672253.01;10278822.78;1305;1030254.88;1302737.49;3348338.08
1665357.94;0;MAÇÃO;26620.07;486748.32;T2_1413;4535677.38;12760.06;1591669.46;T2;145958.9;127567.14;3616698.81;1413;132084.14;346911.35;786894.43
