NVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES
;4746841.69;18533.93;BENAVENTE;74521.5;186643.81;A_1405;15600251.78;12610.21;5723697.55;A;608101.74;1075851.11;12801614.76;1405;834984.93;2318465.31
;3357372.92;0;BOMBARRAL;232035.83;33549.47;A_1005;9549432.46;171289.28;3246883.19;A;100803.33;993274.5;7186454.86;1005;1003314.47;410909.47
;1977436.94;0;BORBA;36270.66;26996.96;A_0703;7492280.47;281768.66;3098893.67;A;572604.87;29278.51;5636301.54;0703;1190827.93;278202.27
;2468200.53;37545;BOTICAS;254899.23;521273.34;A_1702;8249973.14;20787.51;2337730.58;A;1081098.87;0;5585032.97;1702;770123.73;758314.35
;17076189.22;0;BRAGA;14839.87;2626715.11;A_0303;87136871.1;470493.51;24503119.6;A;2307869.25;7913531.99;57859212.53;0303;16414702.35;15809410.2
;11475937.31;129390.19;BRAGANÇA;388417.72;1344036.75;A_0402;26061953.86;162051.16;6713685.98;A;425902.02;775185.58;19894200.91;0402;3104820.69;1542526.46
;3251168.03;195396.56;CABECEIRAS DE BASTO;425578.72;1109484.69;A_0304;12968579.78;153402.66;5123606.17;A;739354.89;317544.03;8789942.19;0304;1391278.7;261765.33
;4014163.05;2000;CADAVAL;30641.83;494182.81;A_1104;10039900.72;46408.71;3692212.53;A;222793.59;626768.27;8300526.65;1104;362987.57;547742.36
;7614773.35;2625000;CALDAS DA RAINHA;30053.39;2724973.96;A_1006;26879822.58;70677.69;5264488.78;A;3224459.33;822371.46;15791515.63;1006;1661448.81;2841575.81
;3102502.7;88105.78;CALHETA (MADEIRA);57203.95;1088381.78;A_3101;9082930.35;138089.11;2401382.64;A;319990.13;68230.5;6170218.42;3101;1290799.79;528243.97
;599396.16;0;CALHETA (SÃO JORGE);60182.91;903689.49;A_4501;4527821.97;139588.08;1693438.29;A;60801.54;0;2527505.76;4501;975642.27;95083.23
;1947759.39;155850.93;CÂMARA DE LOBOS;551887.15;2495280.69;A_3102;13631306.51;182854.54;3813041.74;A;1412293.68;68171.25;7262508.29;3102;1685314.52;1318852.62
;7057772.17;0;CAMINHA;1237237.61;636911.43;A_1602;17058558.14;136858.31;5352178.9;A;438862.46;159438.55;13473934.5;1602;1112173.59;927125.12
;2744406.22;949461.49;CAMPO MAIOR;17569.98;530100.58;A_1204;12709560.65;125964.14;3295698.47;A;302295.21;3665207.25;7096901.24;1204;148024.9;930832.41
;4352418.75;264602.54;CANTANHEDE;9971.11;664840.12;A_0602;19231242.67;333609.33;4888801.73;A;755521.92;1156273.31;12033003.71;0602;4347029.96;2458173.9
;1407768.25;32960.69;CARRAZEDA DE ANSIÃES;11781.47;240394.19;A_0403;7200464.7;26094.26;2523405.81;A;687904.54;48566.22;5136530.82;0403;1042326.77;1179262.5
;1887719.9;28867.56;CARREGAL DO SAL;38285.61;317897.16;A_1802;5774573.21;36066.62;2063220.89;A;150278.89;22193.37;4669392.11;1802;547658.51;682384.7
