codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
0905;4045675.38;1730586.76;1464867.71;760598.85;89622.06;627.3;7711.05;1599;59921.55;74006.06;1249553.18;5439093.52
0404;6941301.01;2918827.34;2694583.41;931263.21;396627.05;114613.78;338703.47;0;142313.98;1000850.67;1162672.74;9700455.65
1208;3953685.61;1654836.16;1750838.77;28500.61;519510.07;0;46894.98;5925.29;625275.28;364505.41;357087.28;5353373.85
3103;57791107.83;30407727.73;23147047.75;1003764.7;3232567.65;272849.2;1453271.73;1275140.9;2888749.99;1765298.63;8679318;74125736.28
0504;15820651.03;5955174.74;6386711.68;2341948.21;1136816.4;144202.83;195391.44;304907.94;933141.8;2405374.13;6051843.54;25855512.71
1209;4577219.37;2144416.51;1827040.18;16010.59;589752.09;176671.52;149737.75;119205.27;282514.93;725282.8;382440.65;6413072.29
0606;5658462.88;2941923.35;1894268.24;35627.99;786643.3;690;36452.65;225901.72;275796.78;255846.26;456473.54;6909623.83
1412;4270714.19;2102646.64;1791784.41;31953.02;344330.12;100375.63;122821.92;29024.85;89570.06;706660.88;567529.46;5886696.99
1304;47779218.25;22214722.9;19795448.23;389105.84;5379941.28;1072730.55;3099705.82;34474.46;4056099.75;2545671.52;4569267.34;63157167.69
0906;7174175;3378319.71;2822405.29;87588.27;885861.73;153647.84;263775.54;57807.47;2265045.1;1004631.26;1412893.66;12331975.87
1505;15324033.23;8549793.73;5199752.33;143262.46;1431224.71;83726.66;182958.91;94283.37;1323782.24;782806.9;1472529.6;19264120.91
0907;19139988.91;9148013.99;7958066.31;877195.42;1156713.19;10975.94;719435.93;107068.48;2997121.12;278810.92;5121477.29;28374878.59
0308;53537907.42;23350740.46;18508094.44;557921.74;11121150.78;977546.25;2906870.64;0;1902630.75;5074286.6;8395268.74;72794510.4
4701;6424592.81;3439481.85;2136230.94;68057.87;780822.15;0;7136.64;2413795.32;1402000.84;328535.46;1138300.67;11714361.74
0505;12013945.09;4379398.05;6335287.71;40807.91;1258451.42;131717.28;582257.53;121582.82;757909.71;1739703.85;1139606.71;16486722.99
0110;13365569.18;4989450.1;7427156.11;412839.7;536123.27;472565.28;302367.84;1872538.2;767524.56;2456975.84;3671416.38;22908957.28
0806;21506192.92;6476431.17;12066052.83;285962.63;2677746.29;0;185208.45;335201.15;207953.71;1613583.57;1518168.81;25366308.61
4201;6652838.57;2706829.63;2830976.59;81444.33;1033588.02;0;35922.54;59438.75;862393.19;575423.26;1372021.36;9558037.67
0807;35317224.03;11761726.22;17811451.78;1080178.95;4663867.08;837033.99;676942.86;579863.25;444235.83;567381.9;3131215.36;41553897.22
4801;1665843.18;1102795.05;444311.16;12990.01;105746.96;66000;94493.92;138204.7;1856673.76;611649.1;558241.98;4991106.64
4601;3079026.78;1729302.83;935728.17;159141.75;254854.03;12000;495674.56;286093.62;1566008.85;189328.78;1402845.56;7030978.15
1805;13344228.56;4602505.83;5867586.61;687147.42;2186988.7;9000;1491720.87;296575.16;1962637.51;241757.13;4262278.56;21608197.79
1009;36975448;12320471.2;14605738.66;1274776.5;8774461.64;16536;2671021.51;300799.28;2533764.1;4100576.76;10645776.28;57243921.93
1106;441940695.43;216512163.43;132540525.34;7260017.5;85627989.16;11384284.67;9388069.8;4096554.46;10909192.09;32993013.17;129288439.41;640000249.03
0808;57787460.46;25771145.76;26582007.28;589169.64;4845137.78;691747.4;3828959.78;2943775.53;4749489.73;3279760.41;18847684.63;92128838.58
1107;84066571.6;38008150.63;32103516.23;1128635.25;12826269.49;454188.82;3182033.59;307723.99;476128.55;709524.42;13385106.56;102581277.53
1108;14438381.81;5794903.78;6416295.07;266092.34;1961090.62;444236.96;1458311.25;170130.51;290656.66;386403.8;2185364.66;19373485.65
0607;10006886.24;4254744.48;4915091.77;91269;745780.99;61565.19;671073.56;472838.66;637623.9;996518.31;645894.33;13492400.19
1305;19295469.06;9759379.25;6996383.85;189946.3;2349759.66;50000;1847747.96;758643.45;391827.98;341342.88;2398491.9;25083523.23
1413;6977201.33;3163272.06;3173417.85;30048.45;610462.97;0;244568.26;105251.68;765743.43;196648.95;277096.88;8566510.53
0405;12086137.28;4638503.88;6325027.27;61315.38;1061290.75;190714.5;0;39535.4;1036602.91;338897.36;2221990.18;15913877.63
3104;13314434.08;3463405.26;8050209.77;610092.29;1190726.76;9500;0;33872.8;1277619.47;101382.66;1527611.37;16264420.38
4602;3809692.5;2267299.53;1126940.31;22301.44;393151.22;0;222139.67;103423.58;2241998.16;207786.75;605775.77;7190816.43
1109;39957337.91;13929910.11;21843671.77;112750.89;4071005.14;78428;188490.04;686942.34;5084495.88;2256141.38;3888773.37;52140608.92
1306;39706547.35;18567367.45;15434195.89;1723483.57;3981500.44;237729.23;3310949.89;4738597.12;1537521.36;1031912.79;8899173.96;59462431.7
1806;9989426.22;4592825.23;4435727.71;401184.75;559688.53;15536.46;1106706.35;732153.95;1706892.62;568375.13;2014245.55;16133336.28
0908;3457309.92;1300144.92;1380262.55;24938.18;751964.27;10247.92;0;131544.49;122410.86;797133.54;600280.74;5118927.47
1307;17475330.16;6875721.53;7498395.78;457410.02;2643802.83;32296.87;318478.2;524155.14;454997.81;564060.3;5895091.3;25264409.78
1010;15641811.17;5403826.48;7784015.37;21997.88;2431971.44;58158.19;678953.67;599546.06;705187.13;1480038.36;801926.18;19965620.76
1210;3442323.47;1736929.25;1314990.46;7237.32;383166.44;808643.91;18704.86;177894.45;144897.78;280210.15;236301.21;5108975.83
1308;68457715.38;29702027.6;25465524.66;706241.51;12583921.61;4384128.02;3853050.89;632314.7;1623537.48;2511746.35;7199260.91;88661753.73
0111;8808666.74;4523811.59;3680237.91;0;604617.24;338138.35;2761281.69;164037.91;1522370.31;433130.04;2143389.89;16171014.93
0909;6487092.04;3041528.33;2838401.08;275757.73;331404.9;83597.83;143603.48;199286.87;423133.31;112319.29;353485.68;7802518.5
1603;7635704.25;4584277.87;2430238.89;175949.22;445238.27;16406.51;207386.28;681715.97;899062.11;202690.96;1531637.87;11174603.95
0209;9023273.26;4634782.56;3218786.66;41209.92;1128494.12;168717.35;77494.26;112755.78;1890881.73;739355.84;1325824.02;13338302.24
1704;3377725.42;1999830.21;992940.96;210558.42;174395.83;26089.58;239886.01;8897.37;159252;156972.56;1021036.32;4989859.26
0608;7800425.09;3609526.91;3771562.97;15728.81;403606.4;0;176900.34;298253.52;242249.89;499762.59;1087794.79;10105386.22
0609;6467194.2;2919176.04;2923356.53;29116.73;595544.9;75119.67;5756.4;165692.11;196740.42;746374.08;663582.89;8320459.77
0406;7392096.98;3129185.83;3429586.79;254290.64;579033.72;6718.4;144855.59;173153.58;475656.08;1037529.46;1193386.67;10423396.76
0407;15168166.19;6382566.56;6611142.66;925110.09;1249346.88;68995.35;2315620.03;227876.38;922775.92;1040326.62;2184647.44;21928407.93
0408;8839692.22;2808426.4;4883520.87;28629.27;1119115.68;13845.92;172529.26;113524.52;161660.64;2141619.87;1155223.76;12598096.19
1807;7219105.26;3001476.55;3227692.04;271644.13;718292.54;301540.19;177167.91;170824.67;1135713.66;638140.03;1876583.56;11519075.28
1506;24497960.8;13950877.3;7039851.35;150702.43;3356529.72;17030.45;263438.86;539830.27;487107.36;1576319.68;2902992.76;30284680.18
1604;9445338.55;4502906.61;3769116.32;140026.48;1033289.14;61774.46;334760.97;169150.69;616351.95;602092.7;3514211.71;14743681.03
0809;6355639.35;3575672.03;1855953.83;23100.76;900912.73;17000;26788.63;761164.53;422142.13;655907.85;1401730.15;9640372.64
1705;5052382.57;2644867.64;1776262.67;272548.64;358703.62;72560.05;320837.03;27707.08;91328.12;154114.54;1501788.51;7220717.9
1211;4149546.79;2490409.14;1129043.31;57772.08;472322.26;0;132980.33;91.94;72113.32;88807;860098.36;5303637.74
