codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
804;9124697.16;2592069.15;5306374.18;31589.08;1194664.75;91012.31;327107.04;209171;1573241.92;793922.84;651495.83;12770648.1
206;7661435.52;3619208.21;2760994.75;26964.57;1254267.99;108551.64;164614.27;18704.56;428907.14;877481.4;1045225.91;10304920.44
903;7009863.82;3262991.98;2816841.23;343122.22;586908.39;0;104907.68;61203.2;516388.25;223327.11;1091897.25;9007587.31
305;10077731.53;4593184.88;4086756.31;411444.24;986346.1;133354.57;1512600.89;0;75803.27;1253580.34;1788088.82;14841159.42
1407;6446846.88;2999171.91;2224312.72;66544.65;1156817.6;66700;227069.69;0;218295.15;510499.3;1441851.98;8911263
1703;22223727.1;8499504.92;9377505.35;2815579.42;1531137.41;26782.18;951342.99;328572.14;3770813.11;3059805.53;5875962.17;36237005.22
1804;10580386.9;3775127.59;4600786.67;22223.41;2182249.23;51497.65;162222.02;245955.5;1248071.97;1636671.77;520073;14444878.81
603;55509639.9;25737993.86;18177734.43;637605.47;10956306.14;798181.88;895490.54;26128.28;435351.32;12604773.58;7276024.26;77545589.76
604;8422791.12;3284280.43;4251504.02;39824.74;847181.93;0;17956.94;311834.65;293673.4;1770061.1;883593.73;11699910.94
1408;4081590.39;1877760.5;1625174.41;50851.97;527803.51;46841.95;210554.61;33942.13;45930.86;176336.72;691286.03;5286482.69
1409;11198782.85;5617823.12;3728678.44;47177.69;1805103.6;941348.04;385458.03;139514.1;1188483.46;1791216.38;715213.53;16360016.39
4901;896007.93;481034.89;388485.86;3736.88;22750.3;40892.75;205265.64;127796.34;37852.59;294590.37;144858.32;1747263.94
503;15592979.38;5822273.63;6789994.15;393790.85;2586920.75;256426.64;1169658.52;96236.23;1405179.22;969776.49;7217242.69;26707499.17
1206;5062227.97;2095599.54;2405233.79;20676.92;540717.72;0;42760.79;171176.41;260581.02;565103.25;943794.02;7045643.46
207;3979906.21;2100880.81;1388803.02;19912.15;470310.23;0;211449.74;259085.28;269196.44;456660.93;614092.88;5790391.48
1207;16161003.88;4434078.74;7632565.97;8852.19;4085506.98;747271.99;286857.55;7132.35;623901.45;5712607.37;425342.65;23964117.24
1410;9856258.46;5005663.77;4159856.06;250844.13;439894.5;5569.09;1192869.69;9082.91;1947917.39;861349.28;1412827.25;15285874.07
107;19074881.66;9067611.33;8767596.27;292447.7;947226.36;164034.08;2316624.09;878000.95;276130.28;2860127.27;4894226.18;30464024.51
306;13291462.39;4290443.6;5717276.9;39866.62;3243875.27;542781.67;338277.96;0;1442612.26;505117.17;1578330.99;17698582.44
108;9668389.87;4208946.93;4368353.09;84278.8;1006811.05;550536.9;508596.3;419814.61;926683.8;726799.23;2731512.62;15532333.33
704;9505598.76;3511220.03;4550452.97;186252.58;1257673.18;241901.51;38635.94;2417042.27;0;510912.89;872088.69;13586180.06
705;31424063.58;17711101.3;9229673.89;3155075.79;1328212.6;600000;3723078.08;67648.16;288705.82;696145.48;5495601.75;42295242.87
307;20051163.46;7761477.1;7518314.38;111654.08;4659717.9;1465605;1689627.22;1019137.85;1096258.33;1962402.92;5428776.5;32712971.28
805;27343242.93;13264134.94;10469959.87;1285918.61;2323229.51;334208;231474.57;0;394883.99;899003.04;5513122.18;34715934.71
1303;22670668.72;10288783.98;8324697.73;48360.64;4008826.37;99330.05;2090531.85;1837272.09;601880.08;1485461.74;3019248.29;31804392.82
208;7904267.2;4146896.83;2765676.34;80218.06;911475.97;0;47204.13;2661.6;29279.36;233813.09;773195.77;8990421.15
1411;6244587.62;2228560.06;3200515.57;82587.33;732924.66;0;13920.93;3013.5;655451.45;359135.66;744483.79;8020592.95
605;24005122.18;9859217.63;9754660.51;1077227.25;3314016.79;247180.02;1924893.22;63467.68;1629123.18;1665313.63;8834746.33;38369846.24
904;7992879.71;2360650.26;4233330.05;105466.89;1293432.51;36823.58;139097.64;11584.31;130520.21;630768.85;938666.49;9880340.79
1008;5297312.41;2731478.15;1900404.52;142555.95;522873.79;9347.91;24937.77;22627.36;41438.6;642286.28;1168225.8;7206176.13
905;3794648.77;1774666.23;1256927.27;657292.72;105762.55;62356.85;0;4016.6;104514.84;218064.52;1396179.87;5579781.45
404;5284366.95;2645409.11;1795964.62;398890.51;444102.71;124214.36;14335.45;16605;53256.65;614905.25;1244074.11;7351757.77
1208;4059640.17;1689243.23;1873588.82;17168.48;479639.64;0;8354.63;5319.75;28376.89;256578.87;354410.93;4712681.24
3103;55938429.37;29270676.21;21991454.84;826249.29;3850049.03;515601.4;2327042.19;749403.57;910955.38;1643161.31;8495218.14;70579811.36
504;15003942.2;5872585.55;6622717.19;1410981.18;1097658.28;17326.94;187298.33;310307.97;2147097.1;3105891.66;6332705.73;27104569.93
1209;4408044.92;2042077.06;1725846.13;11367.91;628753.82;0;198004.26;66775.38;130066.84;731644.31;377495.34;5912031.05
606;5798249.15;2718276.52;1985765.24;27168.43;1067038.96;2050;118481.49;248189.28;224344.5;268140.34;493685.81;7153140.57
1412;4975279.69;2137614.8;2372755.01;33432.33;431477.55;88650;46012.39;101222.38;58332.7;981668.15;513978.88;6765144.19
1304;50487807.29;22666666.39;21722937.26;308653.4;5789550.24;1235151.17;2297184.45;291898.36;3216636.46;1066867.25;4888515.19;63484060.17
906;7457321.97;3091016.63;3192434.31;66852.45;1107018.58;113116.82;458162.21;13346.08;641436.03;1445275.44;1292320.45;11420979
1505;15441360.77;8662634.93;5157783.2;242774.5;1378168.14;21032.44;233338.8;101979.92;725742.56;528316.23;1177931.65;18229702.37
907;23887788.62;9549429.31;10727501.93;1964076.84;1646780.54;8173.15;394647.57;227798.41;2609133.58;674846.73;8598270.74;36400658.8
308;52172623.65;22895237.72;18501631.02;1627294.42;9148460.49;981635.92;507940.78;0;2772708.46;4771444.64;17360709.4;78567062.85
4701;6436389.92;3159191.99;2545710.63;53614.25;677873.05;189306.96;0;681006.69;909980.76;311097.47;1378534.54;9906316.34
505;12817406.79;4260066.33;6934545.45;47986.21;1574808.8;0;393636.8;26109.36;794999.83;1853496.55;1302073.32;17187722.65
110;12701677.1;5101435.15;6883373.16;295056.09;421812.7;64161.23;1117543.23;2429107.17;1394576.23;3563850.84;3577450.31;24848366.11
806;22644077.96;6603570.14;12752200.42;104104.96;3184202.44;85451.9;935981.02;294170.55;402472.6;1418570.84;5002349.53;30783074.4
4201;6624920.36;2617664.32;2561889.33;66512.44;1378854.27;114353.7;284076.42;60270.86;205213.31;810272.32;1746138.48;9845245.45
807;35681948.42;11400980.94;20182393.74;831439.86;3267133.88;915408.54;606261.12;477109.31;1658688.06;1366158.54;3409761.16;44115335.15
4801;1995504.52;1113489.46;822068.41;5510.46;54436.19;13575.74;123326.6;100086.94;225280.77;195017.09;350350.97;3003142.63
4601;3185269.42;1638591.11;1007918.66;111581.18;427178.47;12000;134322.61;210866.81;806184.61;177856.6;1214021.67;5740521.72
1805;15214656.71;4665815.04;7962073.57;582609.53;2004158.57;18953.54;5144982.02;729686.97;808491.25;751435.63;3892617.97;26560824.09
1009;34342128.16;12273779.84;15120854.03;1113491.25;5834003.04;12781.85;2366772.07;81487.66;6632657.81;1475646.72;9228908.99;54140383.26
1106;454853667.4;213264686.9;125467340.4;9905388.23;106216251.9;8914649.13;11233399.88;3723466.9;12359798.57;30431311.98;76260380.63;597776674.5
808;63569601.12;26027320.03;31052854.31;204083.88;6285342.9;211417.89;1115036.23;1534453.24;5770884.42;6528649.19;7742131.53;86472173.62
1107;86394608.32;38666786.19;33562201.98;583597.99;13582022.16;228577.68;1283904.8;19501.24;950460.91;1415601.56;11721497.66;102014152.2
