IMI;FINANCIAMENTO_UNIAO_EUROPEIA;TAXAS_MULTAS_OUTROS_IMPOSTOS;DSC_AUTARQUIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
1814238.01;366117.49;978455.38;SEIA;3576765.78;415266.8;7224120;T3_0912;242115.59;T3;0912;2351485.71;126690;16004899.52;2486410.54
14491854.44;944780.13;13886349.01;SEIXAL;36071467.76;2763820.01;10406673;T3_1510;4190287.25;T3;1510;9021436.01;739157.05;56621933.36;177576.46
306675.97;1083765.18;141583.49;SERNANCELHE;595964.19;93068.2;3653685;T3_1818;54636.53;T3;1818;585757.02;0;6118875.59;199704.2
562095.13;1058540.11;177783.22;SERPA;1190216.68;234850.33;7293330;T3_0213;171225.58;T3;0213;1196760.48;44262.42;11095661.72;356814.45
716785.39;123527.1;229859.83;SERTÃ;1277303.2;154715.51;5397881.9;T3_0509;92069.61;T3;0509;2044327.1;83872.86;10687970.47;1844931.17
6569446.69;2683737.11;2034222.11;SESIMBRA;12514721.97;1007918.9;3682701;T3_1511;2756560.09;T3;1511;8581213.49;146574.18;37692181.72;10229808.15
14009465.43;3187763.78;2343160.65;SETÚBAL;24563470.48;2379574.37;8657172;T3_1512;2139931.53;T3;1512;8025351.24;3691338.5;48159866.41;3726108.91
689400.55;1489880.14;79108;SEVER DO VOUGA;1212645.83;210974.65;3601989;T3_0117;92786.43;T3;0117;511504.74;140376.2;7338151.35;522131.64
4408675.77;67884.53;617989.54;SILVES;7211456;701776.07;5950494;T3_0813;1483014.62;T3;0813;4514323.19;0;21157542.64;3413384.92
1346887.24;3739396.24;624360.87;SINES;6344478.29;263441.31;2808927;T3_1513;475812.03;T3;1513;2927074.02;3633976.84;24439461.31;8619585.76
31128520.19;91687.05;6832322.49;SINTRA;57790282.96;7758175.51;25182144;T3_1111;8177396.65;T3;1111;7267933.59;3893868.12;112333858.83;22001811.23
620154.44;10164.49;460276.01;SOBRAL DE MONTE AGRAÇO;1614719.88;193489.06;2224005;T3_1112;280441.29;T3;1112;1262382.68;60359.08;6533722.55;1422450.5
1109321;20013.86;151517.46;SOURE;1869701.33;318018.08;5115897;T3_0615;242518.09;T3;0615;1680899.35;48326.7;11065531.65;2379020.11
323202.58;1661030.21;43000.22;SOUSEL;485636.3;71717.83;2825595;T3_1215;37615.32;T3;1215;839049.36;10100.35;6203249.72;391938.85
651480.98;300072.28;418420.38;TÁBUA;1390419.45;209275.65;3996639;T3_0616;111242.44;T3;0616;415796.31;0;10148930.91;4046003.87
349564.82;445333.26;36140.28;TABUAÇO;534319.17;80602.32;3511587;T3_1819;59751.61;T3;1819;745159.3;8260.14;5595782.05;359383.32
424529.86;223897.82;52794.76;TAROUCA;730827.12;135696.46;3418992;T3_1820;117806.04;T3;1820;1028332.94;0;6566341.76;1164291.88
4744114.86;864308.08;1498497.4;TAVIRA;8780774.81;571093.56;4870134;T3_0814;1943684.59;T3;0814;2319485.23;23384.4;19964451.94;3129749.82
313766.65;369667.71;101116.29;TERRAS DE BOURO;844603.12;106585.66;4031428.1;T3_0310;67587.86;T3;0310;780189.21;255546.66;6825152.57;799264.43
2368104.98;577614;345439.03;TOMAR;4072803.26;716515.77;6713820;T3_1418;408275.86;T3;1418;2373865.43;234467.62;16424661.49;2686558.8
1926117.12;3514746.44;267984.97;TONDELA;3348683.85;481470.19;7239186;T3_1821;270952.84;T3;1821;200893.49;402158.73;16522717.6;2219207.82
480406.12;1168672.37;67647.62;TORRE DE MONCORVO;701845.51;107215.77;5241348;T3_0409;46576;T3;0409;1702207.98;0;9568573.79;754499.93
2659507.24;47000.22;651777.67;TORRES NOVAS;4780915.86;667529.77;6019236.92;T3_1419;394117.49;T3;1419;2090846.67;407983.69;27324639.65;14386639.98
6869131.35;2139206.1;920116.76;TORRES VEDRAS;12982729.62;1473328.02;8148795;T3_1113;2936696.07;T3;1113;4966426.69;783457.42;32881988.12;4644830.71
529604.66;0;155249.88;TRANCOSO;914538.14;155638.58;4834118;T3_0913;74045.02;T3;0913;331784.44;0;8962351.39;2881910.81
3028911.78;1727021.76;528289.32;TROFA;5311489.5;754963.71;4925151;T3_1318;288343.05;T3;1318;696191.92;710981.64;14643063.93;1983209.75
1641249.38;2454277.7;222408.7;VAGOS;3083212.76;477843.83;4197447;T3_0118;593794.29;T3;0118;1077830.23;147916.56;15158664.3;4345896.61
1501919.99;1898963.63;330188.86;VALE DE CAMBRA;2607296.78;433457.03;4890501;T3_0119;139154.15;T3;0119;1757237.31;202576.75;14071442.96;2917444.24
1011101.66;1493050.71;448804.23;VALENÇA;2167845.86;302533.02;4053411;T3_1608;242814.06;T3;1608;1621261.06;162592.89;11548938.54;2213369.91
5665445.94;166362.71;607710.56;VALONGO;10116852.99;1569877.07;7031250;T3_1315;1238604.25;T3;1315;4074043.29;1035215.17;39410182.45;18021673.46
904238.01;989438.83;315498.13;VALPAÇOS;1718580.59;255782.28;6895485;T3_1712;243062.17;T3;1712;1912932.03;0;14847886.79;3331450.34
206150.16;255769.71;19446.37;VELAS;391293.42;91334.38;2855349;T3_4502;74362.51;T3;4502;299989.22;0;3809791.53;7390.18
769973.87;342274.35;277566.37;VENDAS NOVAS;1442197.1;191643.02;2650131;T3_0712;124101.56;T3;0712;1241190.24;78912.28;5984037.5;308244.81
273524.39;1509051.24;35358.31;VIANA DO ALENTEJO;726193.88;87376.91;3056085;T3_0713;315211.34;T3;0713;703508.57;14722.93;6324257.49;329418.8
6872797.1;6461203.02;857395.08;VIANA DO CASTELO;13322644.91;1642150.4;10900465.5;T3_1609;1156332.55;T3;1609;3250890.67;2793969.78;43732744.7;9797540.6
308691.7;383475.47;46026.59;VIDIGUEIRA;529675.48;96979.25;2944683;T3_0214;63805.1;T3;0214;890495.84;14172.84;5333643.72;585313.93
584526.49;2160708.4;76080.79;VIEIRA DO MINHO;1082487.17;211077.65;4566114;T3_0311;126112.6;T3;0311;727560.84;84689.64;12631248.02;4094377.61
229976.86;31008.27;70467.03;VILA DE REI;377990.91;37832.72;2734587;T3_0510;32099.35;T3;0510;245042.06;7614.95;3812573.69;423945.45
1277961.5;250432.25;108441.33;VILA DO BISPO;1963958.74;110214.37;2330676;T3_0815;467341.54;T3;0815;1724554.56;0;6728970.26;459348.71
8038542.41;3521379.86;1561917.01;VILA DO CONDE;14772702.34;1435589.64;6886251;T3_1316;2805476.89;T3;1316;4585085.32;931176.39;65756640.57;35991222.05
232779.34;89217.72;48950.12;VILA DO PORTO;427709.4;111036.18;2774493;T3_4101;34943.76;T3;4101;259258.5;0;3608397.06;57718.44
288241.09;60319.72;53096.4;VILA FLOR;383742.18;42404.69;4042782;T3_0410;0;T3;0410;701168.02;0;6379709.81;1191697.89
9342522.19;4377792.84;1312009.39;VILA FRANCA DE XIRA;17395592.46;2291814.38;9785421;T3_1114;2764095.41;T3;1114;7726256.87;1685151.09;43957376.87;4672313.7
753695.29;1140331.74;151117.21;VILA FRANCA DO CAMPO;1244810.35;118438.93;3192732;T3_4206;175150.33;T3;4206;915660.73;46408.59;6776059.54;282524.72
403480.58;1093473.48;402318.79;VILA NOVA DA BARQUINHA;1005250.95;128616.68;2292966;T3_1420;59802.5;T3;1420;602811.34;11032.4;6710164.07;1715662.3
