codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
208;1883672.91;1002718.96;648154.73;23055.17;209744.05;10462.5;129718.69;37224.44;5523.18;180218.53;289843.95;2536664.2
1411;1395884.25;515763.37;759369.06;33369.23;87382.59;0;14789.24;0;204739.79;10228.81;75584.3;1701226.39
605;4171932.26;2121008.71;1627406.02;99658.42;323859.11;0;599168.96;0;25255;951416.95;493342.95;6241116.12
904;1435273.6;476934.83;610250.04;24858.64;323230.09;3172.38;79950;23531.5;22.14;13061.32;292915.16;1847926.1
1008;1080458.09;656506.57;290276.72;73094.34;60580.46;3966.75;325.95;0;773.67;29709.43;291674.03;1406907.92
905;1278214.42;396881.07;665247.52;207289.64;8796.19;0;0;0;28785.29;4305;301917.74;1613222.45
404;1141892.71;626884.5;354640.82;59041.35;101326.04;0;210742.47;0;85413.43;81236.86;264343.67;1783629.14
1208;794407.62;371132.68;357833.74;7157.54;58283.66;0;0;3025.8;573812.79;12798.7;110966.54;1495011.45
3103;10952880.28;6840389.01;3122168.34;159752.73;830570.2;142894.5;81920.82;1959478.29;375614.32;996746.12;1381656.63;15891190.96
504;7652109.63;1471645.66;5375937.69;511911.71;292614.57;697.53;3367187.8;4579430.77;8620398.01;2550863.6;980624;27751311.34
1209;840740.65;460713.32;209652.88;5197.3;165177.15;0;4535.01;56500.53;81.18;11207.29;50163.42;963228.08
606;1115932.52;637683.15;389067.7;15617.9;73563.77;0;81948.44;9868.68;273721.31;79968.23;165041.22;1726480.4
1412;1042449.08;511128.3;441008.92;3220.87;87090.99;2878.2;24865.15;32249.51;22914.49;480215.85;46036.08;1651608.36
1304;11282662.4;6070368.09;3488686.06;67518.2;1656090.05;95966.87;1064993;2813.68;1488809.3;92134.06;1087275.09;15114654.4
906;1384556.99;625824.71;443687.99;17047.81;297996.48;9383.64;298.07;12583.63;535054.87;219924.35;239950.42;2401751.97
1505;3501181.85;2059148.14;1031790.41;44020.72;366222.58;4166.26;55845.15;66149.05;560636.48;150057.58;229224.98;4567261.35
907;3786190.5;2185364.31;868553.9;173619.58;558652.71;75586.04;40787.64;19349.52;196081.87;107258.27;1719417.36;5944671.2
308;11199461.13;5527453.01;2939024.75;351531.72;2381451.65;385453.08;257648.43;0;372243.08;604609.3;2307452.46;15126867.48
4701;1228808.79;750758.47;305635.24;24758.83;147656.25;0;0;0;340336.45;180683.16;245119.68;1994948.08
505;2469789.5;985085.57;1328567.67;6520.75;149615.51;0;39605.86;16826.6;130625.36;177006.67;281150.88;3115004.87
110;4291082.29;1248138.63;2226851.09;709823.02;106269.55;218560.26;341239.56;3393.58;500417.92;111956.75;682359.05;6149009.41
806;3565122.41;1550913.47;1367422.81;160957.79;485828.34;0;89936.64;53768.7;18069.93;74932.29;125779.83;3927609.8
4201;1227541.23;513211.55;377817.07;15861.61;320651;0;46761.81;194561.2;29569.56;178867.71;434493.42;2111794.93
807;10703433.32;2835355.57;5546379.87;186511.99;2135185.89;192545.25;215563.22;68317.11;911731.98;199228.29;1103168.4;13393987.57
4801;438234.85;256375.97;177292.58;0;4566.3;0;32956.85;30179.8;457346.78;113571.69;23240.21;1095530.18
4601;633426.58;337829.89;219624.92;34696.72;41275.05;0;557755.36;0;280197.75;47322.24;291641.9;1810343.83
1805;2489378.04;950124.32;1028641.38;91175.47;419436.87;0;225396.84;25588.4;624278.4;39060.62;1084062.48;4487764.78
