codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
704;9505598.76;3511220.03;4550452.97;186252.58;1257673.18;241901.51;38635.94;2417042.27;0;510912.89;872088.69;10593010.74;5218848;1755404.3;1561684.63;851709.88;210496.79;198058.89;73382.9;228036.17;1592947.93;464125.88;13586180.06
705;31424063.58;17711101.3;9229673.89;3155075.79;1328212.6;600000;3723078.08;67648.16;288705.82;696145.48;5495601.75;29337021.2;10170036.02;984429.82;10889534.39;4931069.36;1503159.89;923898.49;678372.3;2853034.35;4562631.8;2730389.17;42295242.87
307;20051163.46;7761477.1;7518314.38;111654.08;4659717.9;1465605;1689627.22;1019137.85;1096258.33;1962402.92;5428776.5;23689713.18;9192213;2025899.61;5584605.55;3162330.6;712100.01;820431.48;522207.9;367535.56;4041404.87;2845590.15;32712971.28
805;27343242.93;13264134.94;10469959.87;1285918.61;2323229.51;334208;231474.57;0;394883.99;899003.04;5513122.18;26571638.81;5210597;382009.89;15325588.22;9360716.57;2489822.34;1610089.74;1031422.39;833537.18;2893261.44;2760182.26;34715934.71
1303;22670668.72;10288783.98;8324697.73;48360.64;4008826.37;99330.05;2090531.85;1837272.09;601880.08;1485461.74;3019248.29;23750284.43;8225433;895651.73;6589028.26;2920311.2;900202.67;977793.09;1243277.34;547443.96;4922481.57;3117689.87;31804392.82
208;7904267.2;4146896.83;2765676.34;80218.06;911475.97;0;47204.13;2661.6;29279.36;233813.09;773195.77;7301612.99;4750497;76951.96;1138907.16;506480.77;205076.66;117864.15;132048.77;177436.81;856459.15;478797.72;8990421.15
1411;6244587.62;2228560.06;3200515.57;82587.33;732924.66;0;13920.93;3013.5;655451.45;359135.66;744483.79;6109559.44;3526380;66197.45;1174041.4;796151.43;87000.93;121601.18;0;169287.86;1102426.54;240514.05;8020592.95
605;24005122.18;9859217.63;9754660.51;1077227.25;3314016.79;247180.02;1924893.22;63467.68;1629123.18;1665313.63;8834746.33;31485805.46;7253892;1515491.02;13244789.23;8605569.95;1115369.29;1090735.15;1580870.3;852244.54;3634606.64;5837026.57;38369846.24
904;7992879.71;2360650.26;4233330.05;105466.89;1293432.51;36823.58;139097.64;11584.31;130520.21;630768.85;938666.49;6705027.09;4886334;143829.42;558683.46;329116.13;72126.99;77000.28;64998.38;15441.68;915627.57;200552.64;9880340.79
1008;5297312.41;2731478.15;1900404.52;142555.95;522873.79;9347.91;24937.77;22627.36;41438.6;642286.28;1168225.8;5483364.15;3306371;448429.51;817553.06;528596.21;56463.63;91299.3;0;141193.92;735131.98;175878.6;7206176.13
