codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
1204;6886745.6;3659526.03;2373856.75;72964.34;780398.48;39457.44;119514.07;106041.92;1040209.13;245422.51;127843.73;8634515.84;4386077;861981.79;1677117.11;356647.12;206689.74;138802.63;746184.88;228792.74;1082736.93;626603.01;8565234.4
602;11839466.63;5358421.86;3905522.11;824136.05;1751386.61;103352.19;1225748.03;15261.57;1265539.79;916279.49;3910127.69;20595763.12;9254089;832658.44;5906413.63;3310007.36;660957.56;595390.81;736064.51;603993.39;2025327.55;2577274.5;19275775.39
403;5779445.45;3110037.53;1447695.5;126677.7;1095034.72;68355.68;108416.07;696.83;2799999.85;268834.78;1124937.25;10224255.79;6069883;1893936.69;504026.15;268337.38;104639.81;70289.8;0;60759.16;457992.34;1298417.61;10150685.91
1802;4686579.83;2136997.88;1765399.74;88987.27;695194.94;18140.87;1057609.08;55501.53;251354.01;193086.65;631455.44;7297967.51;4027297;1326487.79;1077401.65;495921.93;164863.66;142309.61;0;274306.45;439996.09;426784.98;6893727.41
1406;13116976.76;6479356.84;4043308.94;1172967.4;1421343.58;80972.1;1241573.29;91480.92;264206.16;877665.36;2791952.67;15858153.28;4857902;295693.94;3212500.53;1653290.73;727134.16;409555.82;163468.08;259051.74;3889155.88;3602900.93;18464827.26
1105;111468650.1;33138642.25;52023664.12;992065.43;25314278.34;3400695.11;4558922.04;2421026.76;6576065.26;4531388.35;21015272.35;153954097.2;19336399.09;1217985.59;89081977.41;41824274.47;30945600.33;4386327.3;0;11925775.31;11777473.55;32540261.51;153972020
1007;3480268.35;1638217.55;1249392.08;277763.74;314894.98;88234.38;1413126.23;247317.73;933135.77;535251.22;341803.38;8045360.92;3061365;1028391.96;477396.08;188052.1;43003.47;39792.59;12960.68;193587.24;303086.33;3175121.55;7039137.06
502;16250904.15;7186389.36;6189258.91;226097.73;2649158.15;2077835.01;3615162.92;370688.24;8897503.01;2130508.75;7467958.88;43879490.4;16532841;8115717.09;9377982.2;6525487.17;1324130.49;866035.88;1471.5;660857.16;5006615.54;4846334.57;40810560.96
106;9021491.02;3292150.9;3414971.76;1059555.29;1254813.07;14366.13;61232.01;146174.94;1797444.64;359326.55;5227721.32;16688461.15;5687316;652911.12;1005717.99;324063.82;213308.74;199134.89;0;269210.54;1176789.78;8165726.26;16627756.61
1205;3879320.95;2473497.7;1188832.37;17181.62;199809.26;1906.78;172732.74;95829.98;717920.59;235167.61;448763.21;6134771.51;3949491.79;685731.04;537750.25;228042.37;140605.34;44785.87;22197.23;102119.44;741090.35;220708.08;5551641.86
1803;8998558.48;4299822.04;3854046.19;67694.42;776995.83;19706.98;165482.19;904870.17;3142304.1;832275.35;1420512.74;15606566.52;7996236;2892158.62;1197568.6;635925.42;172878.09;199483.64;0;189281.45;2077450.25;1443153.05;15483710.01
804;9274076.34;2876316.23;4800760.66;78823.8;1518175.65;116964.97;21452.84;173292;543258.35;1090066.01;436733.94;10914423.31;3591430;897478.9;4300239.02;2106598.67;1584256.71;120466.39;0;488917.25;1778812.43;346462.96;11655844.45
206;8147795.4;3977549.16;2885209.64;46407.05;1238629.55;14610.52;1645893.42;20877.29;1209645.24;2474445.55;750656.11;14588961.96;5721074;2836160.13;3777444.68;294648.25;109749.07;107936.4;3213165.9;51945.06;1208343.05;1045940.1;14263923.53
903;7379987.1;4203781.1;1896221.93;529222.94;750761.13;13125;69495.37;40921.51;422744.74;239923.41;1079010.44;9173859.19;5565799.06;226113.5;1300919.56;555962.18;83493.73;130258.21;0;531205.44;840590.4;1240436.67;9245207.57
305;10884180.15;4949176.86;4324105.86;809252.88;801644.55;425994.61;3661081.41;597127.54;4034530.3;3348183.99;1705943.53;24687828.1;7638715.76;4971553.83;1730937.65;782422.19;449359.83;225315.59;0;273840.04;2511665.39;7834955.47;24657041.53
1407;6305770.53;3009084.04;2009203.51;361378.99;926103.99;79934.82;237813.34;530594.6;700433.63;657594.42;2954822.59;11138663.76;7264435;283490.64;1174772.19;508301.65;384692.4;126840.17;112427.28;42510.69;691358.62;1724607.31;11466963.93
1703;16671396.74;8924372.71;5813367.09;540870.97;1392785.97;80212.92;3177177.21;499782.67;3260164.42;1678739.41;4638238.74;29897879.57;13600651;2618695.68;5134134.42;2742652.3;1014096.34;664059.52;0;713326.26;6100648.71;2443749.76;30005712.11
1804;8613411.04;4278477.54;3576455.8;15262.23;743215.47;18366.58;757581.8;189198.03;1767828.68;987244.38;1574317.15;14215795.56;7984704.52;1043623.34;1007910.41;439200.35;167815.33;220027.72;0;180867.01;303314.24;3876243.05;13907947.66
603;65248031.31;28282049.61;22283885.74;1392704.98;13289390.98;2224068.83;5130745.14;172718.7;1114466.48;6309155.56;18868707.41;97785788.34;17870492;5624551.44;44516791.5;24377807.29;8104170.45;2612082.75;3862064.25;5560666.76;12718821.46;17055131.94;99067893.43
604;7388424.65;3266084.46;3429200.76;157248.87;535890.56;115227.74;999981.42;798242.03;941835.09;1348874;1240058.43;12999062.07;4261135;2052041.07;2183215.78;1383969.39;345792.22;264722.16;0;188732.01;3228682.23;1273987.99;12832643.36
1408;4031635.14;2094052.27;1463964.96;82337.04;391280.87;108179.71;727235.55;468086.5;612253.05;587545.02;695547.51;6797556.71;3278343;1129657.67;828605.96;308347.9;224118.77;60139.89;196969.7;39029.7;1012944.47;548005.61;7230482.48
1409;12042278.64;6414418.73;4313406.36;121209.42;1193244.13;66029.59;2484655.71;192784.44;892968.19;3304745.56;1367115.23;22302959.56;10488901;4532852.02;3252319.28;1394761.05;960181.42;268361.77;417747.82;211267.22;2133709.63;1895177.63;20350577.36
